"","V1","V2","V3","V4","V5","V6","V7"
"1",24846.3492744912,41161.0481069572,58230.0409756983,76821.4297605809,97972.4390446771,123441.039394196,156978.170522123
"2",6212.30768907169,10290.9823638843,14558.2305585349,19206.0777572124,24493.8300679111,30860.9801645654,39245.2629351482
"3",2761.55936317824,4574.30360080698,6470.85830139174,8536.56817509683,10886.6802903763,13716.5247701466,17442.8726609847
"4",1553.79758496973,2573.46611673917,3640.27810218814,4802.23986339868,6124.17791506032,7715.96541820566,9812.0360647539
"5",994.776568523654,1647.36429589119,2330.12392278229,3073.77939223391,3919.8197184394,4938.5637011855,6280.04891621099
"6",691.110989580122,1144.29674174331,1618.43527862891,2134.8626548873,2722.390626087,3429.85169974685,4361.43863324543
"7",508.010387889685,840.963001881142,1189.30956532672,1568.72553945995,2000.37870298745,2520.1459915738,3204.577181593
"8",389.17122539356,644.087811006147,910.790558657924,1201.28083823267,1531.76525000453,1929.71204374423,2453.7296508033
"9",307.695668691523,509.110956970328,719.838909808129,949.362036715727,1210.48544662848,1524.91249551467,1938.95108086056
"10",249.416835603086,412.562921889609,583.252429867932,769.166064826744,980.675955392798,1235.36184825043,1570.73304301046
"11",206.297289580522,341.128411313785,482.193959278054,635.841494202654,810.643012361394,1021.12714570103,1298.29338567208
"12",173.501513548108,286.796725780672,405.330793001335,534.437287054814,681.319049575988,858.184137679357,1091.08070999104
"13",147.978870687569,244.514019089087,345.513265712873,455.521055096565,580.674657589213,731.376204433109,929.820572626827
"14",127.727618774068,210.964109990113,298.049982003162,392.90350644152,500.816491543487,630.758044024727,801.86562799486
"15",111.390127085527,183.897887583634,259.759129421677,342.386935629749,436.391030230216,549.584496649433,698.638151051506
"16",98.0192731042608,161.746250462327,228.420931445199,301.042897066139,383.663575568709,483.14991933209,614.154069312508
"17",86.9380229815287,143.387658282273,202.448707676265,266.778041886434,339.964416562222,428.090653610566,544.135767903836
"18",77.6520146464264,128.003101813198,180.683823560656,238.063824187012,303.344152404877,381.950499935349,485.459815215898
"19",69.7934536372756,114.983275073732,162.264295384944,213.763076726041,272.35249426496,342.902142720232,435.802362513093
"20",63.0841294890961,103.867281115789,146.538093642261,193.015557345384,245.892384559425,309.563331583171,393.405695017599
"21",57.3104523922893,94.3012770965636,133.004637516813,175.160870552336,223.121570418356,280.872893841043,356.920298325179
"22",52.3062440396213,86.0099640779864,121.274462534795,159.685203914233,203.384785255104,256.005197845527,325.296234030147
"23",47.9406472833336,78.7765579312935,111.040885002107,146.183955304728,186.166014724296,234.310116015484,297.706721270913
"24",44.1094856699789,72.4284750507364,102.05975184798,134.335017779574,171.054507732696,215.270034598129,273.493561700931
"25",40.7289920279954,66.8269428437185,94.1347428321478,123.879388466808,157.719905591845,198.468815878609,252.1275017565
"26",37.7311918267028,61.8593516065517,87.1065511460035,114.606893544182,145.894166434271,183.568711143492,233.179067131029
"27",35.0604604803748,57.4335512234685,80.8448156013052,106.34554095373,135.358002579489,170.293364294807,216.296813581216
"28",32.670925424986,53.4735473634948,75.2419720204366,98.9535390069589,125.930478568899,158.414855367272,201.190913227562
"29",30.5244841070242,49.9162180308687,70.2088101185445,92.3129941253236,117.461356260519,147.743921115963,187.620630042267
"30",28.589276485487,46.7087830847191,65.6705917362951,86.3254636084605,109.825010543439,138.122232117041,175.384669432
"31",26.8384356820698,43.8068356635865,61.564566010863,80.908048625606,102.915742479569,129.416654050229,164.313672094209
"32",25.2493995691403,41.1727973115691,57.8375147332344,75.9906130518827,96.6441215504386,121.514403486699,154.264317262007
"33",23.8028067394927,38.7746956998195,54.4442152626698,71.5134836898405,90.9339957178759,114.319664447118,145.114668810053
"34",22.4821465567004,36.5851901910551,51.3459930648588,67.425631743444,85.7203348366547,107.750428875314,136.760453140788
"35",21.2732390734205,34.5807283963936,48.509614273783,63.6832124904447,80.947206092159,101.73624168447,129.112078482237
"36",20.1638498209883,32.7411578727117,45.9063957593812,60.2483848974756,76.5663484555632,96.2162917044637,122.092213825833
"37",19.1433708190818,31.0488307545265,43.5114773387056,57.0883514491495,72.5359218473943,91.1378859317676,115.633848305835
"38",18.2025711527404,29.4884605655526,41.3032262470098,54.1745724488081,68.8195746629516,86.4551585095811,109.678652442099
"39",17.3333878792892,28.0466958049224,39.2627470963482,51.4821194467259,65.3854673098551,82.128065087283,104.17570455316
"40",16.5287530587143,26.7118282381166,37.3734764953277,48.9891402785401,62.2057477160169,78.1214315060756,99.0803248661355
"41",15.7824499473064,25.4735597642913,35.620846017738,46.6764141091673,59.2559027142031,74.4044822563866,94.3532636181935
"42",15.0889928675399,24.3228035002031,33.9920006603728,44.5269793636926,56.5143050815319,70.949884291673,89.9598576013905
"43",14.4435169214944,23.2515166487674,32.4755625896389,42.5258208239798,53.9618116821793,67.7336011185202,85.8694339866668
"44",13.8417619867167,22.2525598376272,31.0614320385735,40.6596679012005,51.5814296188782,64.7341047344799,82.054765858819
"45",13.2797819151848,21.3195780053311,29.7406188249607,38.9165876971122,49.3580068967856,61.9324007775511,78.4916160785877
"46",12.754278363349,20.4468992280198,28.5050992243488,37.286035398729,47.2781198108662,59.3114798557904,75.1583545608939
"47",12.2621082408245,19.6294484510916,27.3476939291816,35.7584708298489,45.3296154961983,56.8561237838467,72.0356270007023
"48",11.8005479116254,18.8626736681534,26.2619636170385,34.3255102693796,43.5016800300794,54.5526704086043,69.1061035100715
"49",11.3671236669131,18.1424825362465,25.2421192828432,32.9794515418411,41.7845764467072,52.3888568741825,66.3540917170237
